Dista(Graus)	Long	Lat	Bouguer(mGal)
0.0	-54.7508615857	-12.5370912929	101.760246277
0.0365795537643	-54.7174968931	-12.5520866603	105.745979309
0.0731591075286	-54.6841322006	-12.5670820278	104.763237
0.109738661293	-54.650767508	-12.5820773952	105.026489258
0.146318215057	-54.6174028155	-12.5970727627	107.354026794
0.182897768822	-54.5840381229	-12.6120681301	108.151252747
0.219477322586	-54.5506734304	-12.6270634975	101.774856567
0.25605687635	-54.5173087378	-12.642058865	101.767570496
0.292636430114	-54.4839440453	-12.6570542324	103.024940491
0.329215983879	-54.4505793527	-12.6720495998	101.171592712
0.365795537643	-54.4172146602	-12.6870449673	104.516670227
0.402375091407	-54.3838499676	-12.7020403347	99.6903915405
0.438954645172	-54.3504852751	-12.7170357022	104.116333008
0.475534198936	-54.3171205825	-12.7320310696	108.65322876
0.5121137527	-54.28375589	-12.747026437	106.916893005
0.548693306465	-54.2503911974	-12.7620218045	111.246200562
0.585272860229	-54.2170265049	-12.7770171719	111.038970947
0.621852413993	-54.1836618123	-12.7920125394	114.35735321
0.658431967757	-54.1502971198	-12.8070079068	115.830207825
0.695011521522	-54.1169324272	-12.8220032742	113.084793091
0.731591075286	-54.0835677347	-12.8369986417	114.239707947
0.76817062905	-54.0502030421	-12.8519940091	115.16583252
0.804750182815	-54.0168383496	-12.8669893765	114.68321228
0.841329736579	-53.983473657	-12.881984744	114.895843506
0.877909290343	-53.9501089645	-12.8969801114	113.842453003
0.914488844108	-53.9167442719	-12.9119754789	113.379119873
0.951068397872	-53.8833795794	-12.9269708463	111.121200562
0.987647951636	-53.8500148868	-12.9419662137	110.891929626
1.0242275054	-53.8166501942	-12.9569615812	108.917953491
1.06080705916	-53.7832855017	-12.9719569486	108.378471375
1.09738661293	-53.7499208091	-12.9869523161	105.446533203
1.13396616669	-53.7165561166	-13.0019476835	109.074821472
1.17054572046	-53.683191424	-13.0169430509	109.900093079
1.20712527422	-53.6498267315	-13.0319384184	107.685401917
1.24370482799	-53.6164620389	-13.0469337858	108.309448242
1.28028438175	-53.5830973464	-13.0619291532	109.096351624
1.31686393551	-53.5497326538	-13.0769245207	110.241149902
1.35344348928	-53.5163679613	-13.0919198881	105.742507935
1.39002304304	-53.4830032687	-13.1069152556	105.942268372
1.42660259681	-53.4496385762	-13.121910623	101.200622559
1.46318215057	-53.4162738836	-13.1369059904	100.364486694
1.49976170434	-53.3829091911	-13.1519013579	91.8731613159
1.5363412581	-53.3495444985	-13.1668967253	88.4492263794
1.57292081186	-53.316179806	-13.1818920927	85.2693710327
1.60950036563	-53.2828151134	-13.1968874602	82.2000427246
1.64607991939	-53.2494504209	-13.2118828276	80.5212478638
1.68265947316	-53.2160857283	-13.2268781951	78.7468185425
1.71923902692	-53.1827210358	-13.2418735625	83.9021987915
1.75581858069	-53.1493563432	-13.2568689299	85.9691772461
1.79239813445	-53.1159916507	-13.2718642974	87.3417129517
1.82897768822	-53.0826269581	-13.2868596648	91.4140167236
1.86555724198	-53.0492622656	-13.3018550323	96.8142089844
1.90213679574	-53.015897573	-13.3168503997	104.279571533
1.93871634951	-52.9825328805	-13.3318457671	104.979278564
1.97529590327	-52.9491681879	-13.3468411346	107.428222656
2.01187545704	-52.9158034954	-13.361836502	108.226623535
2.0484550108	-52.8824388028	-13.3768318694	110.448829651
2.08503456457	-52.8490741103	-13.3918272369	108.647789001
2.12161411833	-52.8157094177	-13.4068226043	110.344062805
2.15819367209	-52.7823447252	-13.4218179718	105.989318848
2.19477322586	-52.7489800326	-13.4368133392	104.52973938
2.23135277962	-52.7156153401	-13.4518087066	102.55255127
2.26793233339	-52.6822506475	-13.4668040741	100.600730896
2.30451188715	-52.648885955	-13.4817994415	99.8291015625
2.34109144092	-52.6155212624	-13.496794809	96.6386032104
2.37767099468	-52.5821565699	-13.5117901764	96.7860488892
2.41425054844	-52.5487918773	-13.5267855438	93.62525177
2.45083010221	-52.5154271848	-13.5417809113	93.1624679565
2.48740965597	-52.4820624922	-13.5567762787	91.2069396973
2.52398920974	-52.4486977997	-13.5717716461	89.5911102295
2.5605687635	-52.4153331071	-13.5867670136	92.1554489136
2.59714831727	-52.3819684146	-13.601762381	92.5628509521
2.63372787103	-52.348603722	-13.6167577485	92.9730224609
2.67030742479	-52.3152390295	-13.6317531159	93.4879989624
2.70688697856	-52.2818743369	-13.6467484833	93.9101409912
2.74346653232	-52.2485096444	-13.6617438508	92.4613723755
2.78004608609	-52.2151449518	-13.6767392182	88.9626464844
2.81662563985	-52.1817802593	-13.6917345857	93.3364028931
2.85320519362	-52.1484155667	-13.7067299531	92.6956176758
